Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
2396,星网锐捷,2015/4/2,10转增5股派1元(含税),2015/5/29,37.99,0.5,0.053785,0.100026,-0.3874,2010/6/23,5,25.32666667,0.046241
2455,百川股份,2015/4/3,10转增10股派2.5元(含税),2015/5/12,9.85,1,-0.001864,0.063959,0.4094,2010/8/3,5,4.925,0.065823
600111,北方稀土,2015/4/3,10送5股派1.25元(含税),2015/5/11,21.98,0.5,0.017355,-0.015014,-0.0305,1997/9/24,18,14.65333333,-0.032369
600635,大众公用,2015/4/3,10送5股派0.35元(含税),2015/5/27,16.34,0.5,-0.068521,-0.099755,-0.4963,1993/3/4,22,10.89333333,-0.031234
300129,泰胜风能,2015/4/3,10转增10股派1元(含税),2015/5/21,12.06,1,0.022787,0.00995,-0.4433,2010/10/19,5,6.03,-0.012837
2003,伟星股份,2015/4/7,10转增2股派6元(含税),2015/5/15,11.76,0.2,0.002078,-0.001701,0.1831,2004/6/25,11,9.8,-0.003779
2181,粤传媒,2015/4/8,10转增6股派0.30元(含税),2015/6/4,21.92,0.6,0.014775,-0.040146,-0.3517,2007/11/16,8,13.7,-0.054921
600867,通化东宝,2015/4/9,10送1股派2元(含税),2015/5/18,31.08,0.1,0.03207,0.041184,-0.3223,1994/8/24,21,28.25454545,0.009114
2385,大北农,2015/4/10,10转增5股派1元(含税),2015/5/13,17.23,0.5,0.000477,0.048172,-0.1761,2010/4/9,5,11.48666667,0.047695
2508,老板电器,2015/4/10,10转增5股派5元(含税),2015/5/14,37.5,0.5,-0.013775,-0.0056,0.0016,2010/11/23,5,25,0.008175
2191,劲嘉股份,2015/4/9,10转增6送4股派1.5元(含税),2015/5/12,14.07,1,-0.001864,0.060412,-0.0369,2007/12/5,8,7.035,0.062276
600251,冠农股份,2015/4/10,10转增10股派2元(含税),2015/5/19,14.66,1,0.011565,-0.003411,-0.0999,2003/6/9,12,7.33,-0.014976
2064,华峰氨纶,2015/4/10,10转增9.5送0.5股派0.5元(含税),2015/6/1,10.88,1,0.026451,0.079044,-0.2973,2006/8/23,9,5.44,0.052593
600691,阳煤化工,2015/4/10,10股转增3.2股,2015/7/9,4.09,0.32,0.059639,0.0489,-0.0746,1993/11/19,22,3.098484848,-0.010739
2327,富安娜,2015/4/14,10转增10股派1元(含税),2015/5/14,11.96,1,-0.013775,-0.025084,0.1021,2009/12/30,6,5.98,-0.011309
2503,搜于特,2015/4/14,10转增10股派1元(含税),2015/5/15,14.23,1,0.002078,-0.039353,0.4272,2010/11/17,5,7.115,-0.041431
600261,阳光照明,2015/4/14,10转增5股派1.50元(含税),2015/5/26,11.24,0.5,0.006092,-0.022242,-0.3467,2000/7/20,15,7.493333333,-0.028334
2475,立讯精密,2015/4/15,10转增5股派0.80元(含税),2015/6/19,33.8,0.5,0.020969,-0.00503,0.0446,2010/9/15,5,22.53333333,-0.025999
300153,科泰电源,2015/4/15,10转增10股派1.50元(含税),2015/5/19,19.15,1,0.011565,0.055875,-0.3976,2010/12/29,5,9.575,0.04431
600486,扬农化工,2015/4/15,10送2股派2元(含税),2015/7/7,21.78,0.2,-0.067128,-0.100092,0.5592,2002/4/25,13,18.15,-0.032964
2436,兴森科技,2015/4/15,10转增10股派2元(含税),2015/5/20,24.58,1,0.025991,0.078112,-0.4313,2010/6/18,5,12.29,0.052121
2406,远东传动,2015/4/16,10转增10股派2元(含税),2015/5/28,15.39,1,0.003664,-0.042235,-0.3284,2010/5/18,5,7.695,-0.045899
2098,浔兴股份,2015/4/16,10转增10股派1.10元(含税),2015/6/4,24.05,1,0.014775,0.100208,-0.4426,2006/12/22,9,12.025,0.085433
300136,信维通信,2015/4/16,10转增10股派0.50元(含税),2015/6/3,33.21,1,0.005007,-0.072267,0.0289,2010/11/5,5,16.605,-0.077274
2215,诺普信,2015/4/16,10转增3股派1元(含税),2015/5/25,28.63,0.3,0.026126,0.020608,-0.6119,2008/2/18,7,22.02307692,-0.005518
2515,金字火腿,2015/4/16,10转增10股派0.80元(含税),2015/5/22,36.88,1,0.03005,-0.069957,-0.4557,2010/12/3,5,18.44,-0.100007
2100,天康生物,2015/4/16,10转增10股派1元(含税),2015/5/20,13.12,1,0.025991,0.099848,-0.3423,2006/12/26,9,6.56,0.073857
2488,金固股份,2015/4/17,10转增15股派2元(含税),2015/5/20,40.52,1.5,0.025991,0.099951,-0.4368,2010/10/21,5,16.208,0.07396
600436,片仔癀,2015/4/17,10转增15股派9元(含税),2015/6/4,98.56,1.5,0.014775,-0.064732,-0.3341,2003/6/16,12,39.424,-0.079507
600015,华夏银行,2015/4/17,10转增2股派4.35元(含税),2015/7/8,12.63,0.2,0.075138,0.047506,-0.2094,2003/9/12,12,10.525,-0.027632
2017,东信和平,2015/4/18,10转增2股派0.50元(含税),2015/6/1,29.66,0.2,0.026451,0.083614,-0.4732,2004/7/13,11,24.71666667,0.057163
600388,龙净环保,2015/4/18,10转增10送5股派3.3元(含税),2015/6/5,28.09,1.5,0.010989,-0.080812,-0.28,2000/12/29,15,11.236,-0.091801
600624,复旦复华,2015/4/18,10转增3股派0.31元(含税),2015/7/23,14.6,0.3,-0.014892,-0.041096,-0.3279,1993/1/5,22,11.23076923,-0.026204
600759,洲际油气,2015/4/18,10股转增3股,2015/7/6,9.29,0.3,-0.02927,0.100108,-0.0939,1996/10/8,19,7.146153846,0.129378
2063,远光软件,2015/4/18,10送3.024029股派0.756007元(含税),2015/7/2,22.02,0.302403,-0.064116,-0.075386,0.1189,2006/8/23,9,16.90720921,-0.01127
2013,中航机电,2015/4/20,10转增3股派0.6元(含税),2015/6/16,31.4,0.3,0.019594,0.011465,-0.0444,2004/7/5,11,24.15384615,-0.008129
2108,沧州明珠,2015/4/21,10转增5送2股派0.5元(含税),2015/6/9,16.75,0.7,0.005704,0.03403,-0.2338,2007/1/24,8,9.852941176,0.028326
2378,章源钨业,2015/4/21,10股转增10股,2015/5/21,17.98,1,0.022787,0.018354,-0.1824,2010/3/31,5,8.99,-0.004433
2305,南国置业,2015/4/21,10转增1送4股派1元(含税),2015/5/25,8.57,0.5,0.026126,0.03734,-0.3071,2009/11/6,6,5.713333333,0.011214
2489,浙江永强,2015/4/21,10转增3股派5元(含税),2015/5/21,41.46,0.3,0.022787,0.085625,-0.2499,2010/10/21,5,31.89230769,0.062838
685,中山公用,2015/4/21,10转增8股派3元(含税),2015/7/7,12.38,0.8,-0.067128,-0.031502,-0.0158,1997/1/23,18,6.877777778,0.035626
2025,航天电器,2015/4/21,10送3股派2元(含税),2015/6/25,30.31,0.3,-0.083558,-0.099967,0.2251,2004/7/26,11,23.31538462,-0.016409
600477,杭萧钢构,2015/4/21,10转增3股派0.6元(含税),2015/6/4,15.82,0.3,0.014775,-0.031606,-0.2885,2003/11/10,12,12.16923077,-0.046381
